id,parent_id,level,type,title,summary,source_tags
L1_01,,1,Container,融资与资本运作,两条并行融资主线：Nexus AI Series B（$30M，$200M 估值，Sequoia 领投）和 CloudMap Series C（$80M，最终 $720M 估值，Robotaxi 转物流后签署）。从 CEO、投资人、法务三视角记录了同一笔融资的完整决策链，核心张力包括 IP 归属风险、估值博弈和 CTO 留存。,Persona_Simulations/04_Investor_Mike/IC_Memo_Nexus_AI_Series_B.md; Persona_Simulations/04_Investor_Mike/LP_Annual_Meeting_Speech_Crisis_Mode.md; Persona_Simulations/04_Investor_Mike/Partner_Meeting_Minutes_March_9.md; Persona_Simulations/04_Investor_Mike/Personal_Wealth_Management_Plan.md; Persona_Simulations/05_Lawyer_Jessica/Due_Diligence_Checklist_LegalGraph.md; Persona_Simulations/05_Lawyer_Jessica/Legal_Opinion_IP_Risk_Nexus_Deal.md; Persona_Simulations/05_Lawyer_Jessica/Performance_Review_Self_Assessment.md; Persona_Simulations/11_CEO_Li_CloudMap/02_Doc_Series_C_Pitch_Deck_v2.md; Persona_Simulations/11_CEO_Li_CloudMap/03_Memo_Personal_Strategy.md; Persona_Simulations/11_CEO_Li_CloudMap/04_Doc_Cost_Reduction_Meeting.md; Persona_Simulations/11_CEO_Li_CloudMap/06_Doc_Government_License_Request.md; Persona_Simulations/11_CEO_Li_CloudMap/07_Memo_Personal_Strategy_v2.md; Persona_Simulations/11_CEO_Li_CloudMap/09_Doc_Valuation_Crisis_Meeting.md; Persona_Simulations/11_CEO_Li_CloudMap/10_Doc_Cost_Reduction_Update.md; Persona_Simulations/11_CEO_Li_CloudMap/11_Doc_Series_C_Pitch_Deck_v3.md; Persona_Simulations/11_CEO_Li_CloudMap/13_Doc_Term_Sheet_Analysis.md; Persona_Simulations/11_CEO_Li_CloudMap/14_Email_All_Hands_Pivot.md; Persona_Simulations/11_CEO_Li_CloudMap/15_Memo_Personal_Strategy_v3.md; Persona_Simulations/CEO_Work_Files/02_Document_Series_B_Pitch_Deck_Draft.md; Persona_Simulations/CEO_Work_Files/05_Memo_Strategy_Retreat_Brainstorm.md; Persona_Simulations/CEO_Work_Files/07_Document_Q1_OKRs_Final_Review.md; Persona_Simulations/CEO_Work_Files/10_Document_Partnership_Agreement_CloudProvider_Draft.md
L2_01,L1_01,2,Container,Nexus AI · Series B,AI 知识图谱 SaaS 的 $30M B 轮融资。ARR $8.1M（YoY +300%），NRR 125%，GlobalBank 为核心客户案例（节省 $2M/年）。法务发现致命 IP 风险：核心算法归属承包商个人，要求 $500 万托管。,Persona_Simulations/04_Investor_Mike/IC_Memo_Nexus_AI_Series_B.md; Persona_Simulations/04_Investor_Mike/LP_Annual_Meeting_Speech_Crisis_Mode.md; Persona_Simulations/04_Investor_Mike/Partner_Meeting_Minutes_March_9.md; Persona_Simulations/04_Investor_Mike/Personal_Wealth_Management_Plan.md; Persona_Simulations/05_Lawyer_Jessica/Due_Diligence_Checklist_LegalGraph.md; Persona_Simulations/05_Lawyer_Jessica/Legal_Opinion_IP_Risk_Nexus_Deal.md; Persona_Simulations/05_Lawyer_Jessica/Performance_Review_Self_Assessment.md; Persona_Simulations/CEO_Work_Files/02_Document_Series_B_Pitch_Deck_Draft.md; Persona_Simulations/CEO_Work_Files/05_Memo_Strategy_Retreat_Brainstorm.md; Persona_Simulations/CEO_Work_Files/07_Document_Q1_OKRs_Final_Review.md; Persona_Simulations/CEO_Work_Files/10_Document_Partnership_Agreement_CloudProvider_Draft.md
L3_01,L2_01,3,Container,CEO 视角 · 融资叙事与战略,CEO Alex 的融资材料与内部战略思考，涵盖 Pitch Deck、Q1 OKR 复盘和 APAC 合作协议。,Persona_Simulations/CEO_Work_Files/02_Document_Series_B_Pitch_Deck_Draft.md; Persona_Simulations/CEO_Work_Files/05_Memo_Strategy_Retreat_Brainstorm.md; Persona_Simulations/CEO_Work_Files/07_Document_Q1_OKRs_Final_Review.md; Persona_Simulations/CEO_Work_Files/10_Document_Partnership_Agreement_CloudProvider_Draft.md
L4_01,L3_01,4,Leaf,Series B Pitch Deck v4,融资 $30M，估值 $200M pre-money。ARR $8.1M（YoY +300%），NRR 125%，客户 45 家。GlobalBank 案例：合规审计 4 天→4 小时，ROI $2M/年。资金用途：40% R&D（招 20 名 NLP 博士），30% GTM（日本/SEA），20% GPU。,Persona_Simulations/CEO_Work_Files/02_Document_Series_B_Pitch_Deck_Draft.md
L4_02,L3_01,4,Leaf,战略退思会备忘录,讨论 Amoeba 组织架构、日本市场扩张（预算 $2M）、Nexus Agent 产品愿景（会议 AI 助手自动生成 Jira 票）。CEO 自省：微管理过度，需聚焦融资、招聘高管、布道愿景。,Persona_Simulations/CEO_Work_Files/05_Memo_Strategy_Retreat_Brainstorm.md
L4_03,L3_01,4,Leaf,Q1 OKR 最终复盘,ARR $2.8M（超额 +12%）。未达目标：仅关闭 3/5 大客户 Pilot，仅招到 2/5 名高级工程师。Q2 北极星指标切换为 NRR 120%，优先修复基础设施而非新功能。,Persona_Simulations/CEO_Work_Files/07_Document_Q1_OKRs_Final_Review.md
L4_04,L3_01,4,Leaf,TechCloud 战略合作协议草案,与 TechCloud 在 APAC 联合部署 Active Knowledge Graph。收益分成：TechCloud 20% 软件许可费，Nexus 10% 算力收入。联合营销预算 $50 万。IP 双方各自保留，数据零接触。,Persona_Simulations/CEO_Work_Files/10_Document_Partnership_Agreement_CloudProvider_Draft.md
L3_02,L2_01,3,Container,投资人视角 · Sequoia 内部决策,Sequoia 合伙人 Mike 的完整投资链路：IC Memo 推荐投资，合伙人会议争论（是否与 Microsoft Graph 重叠），以及 Mike 个人财务危机对决策的隐性驱动。,Persona_Simulations/04_Investor_Mike/IC_Memo_Nexus_AI_Series_B.md; Persona_Simulations/04_Investor_Mike/LP_Annual_Meeting_Speech_Crisis_Mode.md; Persona_Simulations/04_Investor_Mike/Partner_Meeting_Minutes_March_9.md; Persona_Simulations/04_Investor_Mike/Personal_Wealth_Management_Plan.md
L4_05,L3_02,4,Leaf,IC Memo · Nexus AI Series B,推荐投资 $15M（$30M 领投）。核心论点：Active Knowledge Graph 品类定义者，多云+本地部署是护城河（对比 MS Graph 仅限 Office 365）。主要风险：OpenAI Copilot 竞争，$400k/月烧钱率。,Persona_Simulations/04_Investor_Mike/IC_Memo_Nexus_AI_Series_B.md
L4_06,L3_02,4,Leaf,合伙人周会纪要（2026-03-09）,Mike 力推 Nexus AI（$200M pre）。Roelof 质疑与 Microsoft Graph 重叠，Mike 回应：Nexus 是多云+本地，MS Graph 仅限 Office 365。同日审议 SpaceX Follow-on $50M（获批）。,Persona_Simulations/04_Investor_Mike/Partner_Meeting_Minutes_March_9.md
L4_07,L3_02,4,Leaf,LP 年会演讲稿（危机模式）,应对 FinTech Star 欺诈丑闻：启动独立审计，以 Nexus AI +300%、GenAI Corp 签约 Google 转移焦点。内部备注：不能承认 Series B 跳过 DD。,Persona_Simulations/04_Investor_Mike/LP_Annual_Meeting_Speech_Crisis_Mode.md
L4_08,L3_02,4,Leaf,Mike 个人财务末日沙盘,如果被解雇：损失 $1000 万 unvested carry，流动资产仅 $200 万，但每月固定支出：房贷 $8 万 + 赡养费 $2 万 + 私校 $8000。结论：不能失去这份工作，必须击败对手 Doug。,Persona_Simulations/04_Investor_Mike/Personal_Wealth_Management_Plan.md
L3_03,L2_01,3,Container,法务视角 · IP 风险与尽调,律师 Jessica 在尽调中发现的致命 IP 风险：核心算法由承包商 Rob 在公司成立前编写，无 IP 转让协议，技术产权归属个人。,Persona_Simulations/05_Lawyer_Jessica/Due_Diligence_Checklist_LegalGraph.md; Persona_Simulations/05_Lawyer_Jessica/Legal_Opinion_IP_Risk_Nexus_Deal.md; Persona_Simulations/05_Lawyer_Jessica/Performance_Review_Self_Assessment.md
L4_09,L3_03,4,Leaf,IP 风险法律意见书（特权文件）,"""Entity Extraction"" 核心算法的 IP 属承包商 Rob 个人，不在公司名下。属于交易终止级风险。建议：追签 Confirmatory Assignment（倒签至 2024），$500 万托管至签署完成。",Persona_Simulations/05_Lawyer_Jessica/Legal_Opinion_IP_Risk_Nexus_Deal.md
L4_10,L3_03,4,Leaf,法律尽调清单 · LegalGraph 收购,涵盖公司治理、IP 分配（CRITICAL：Rob 的承包合同）、劳动合同、未决诉讼、GDPR 合规。IP Assignment 条目被标为最高优先级。,Persona_Simulations/05_Lawyer_Jessica/Due_Diligence_Checklist_LegalGraph.md
L4_11,L3_03,4,Leaf,Jessica 合伙人晋升自评,"2800 计费小时（团队最高），创收 $350 万。主导 Nexus Series B 尽调，TechCorp 并购中发现 $1000 万税务节省。自评弱点：需要更有攻击性，停止做""好律师""。",Persona_Simulations/05_Lawyer_Jessica/Performance_Review_Self_Assessment.md
L2_02,L1_01,2,Container,CloudMap · Series C 战略转型,自动驾驶公司 CloudMap 的 $80M C 轮融资全程记录。核心事件：Robotaxi→物流的战略转型，CTO 张博的留任博弈，顺丰 LOI 签署（500 台），最终以 $720M（低于 B 轮 $800M）完成融资。10 份文件构成一条完整的创业危机决策时间线。,Persona_Simulations/11_CEO_Li_CloudMap/02_Doc_Series_C_Pitch_Deck_v2.md; Persona_Simulations/11_CEO_Li_CloudMap/03_Memo_Personal_Strategy.md; Persona_Simulations/11_CEO_Li_CloudMap/04_Doc_Cost_Reduction_Meeting.md; Persona_Simulations/11_CEO_Li_CloudMap/06_Doc_Government_License_Request.md; Persona_Simulations/11_CEO_Li_CloudMap/07_Memo_Personal_Strategy_v2.md; Persona_Simulations/11_CEO_Li_CloudMap/09_Doc_Valuation_Crisis_Meeting.md; Persona_Simulations/11_CEO_Li_CloudMap/10_Doc_Cost_Reduction_Update.md; Persona_Simulations/11_CEO_Li_CloudMap/11_Doc_Series_C_Pitch_Deck_v3.md; Persona_Simulations/11_CEO_Li_CloudMap/13_Doc_Term_Sheet_Analysis.md; Persona_Simulations/11_CEO_Li_CloudMap/14_Email_All_Hands_Pivot.md; Persona_Simulations/11_CEO_Li_CloudMap/15_Memo_Personal_Strategy_v3.md
L3_04,L2_02,3,Container,战略转型决策链,CEO 李总三个版本的个人战略备忘录，记录从迷茫到决断的完整思考过程。,Persona_Simulations/11_CEO_Li_CloudMap/03_Memo_Personal_Strategy.md; Persona_Simulations/11_CEO_Li_CloudMap/07_Memo_Personal_Strategy_v2.md; Persona_Simulations/11_CEO_Li_CloudMap/15_Memo_Personal_Strategy_v3.md
L4_12,L3_04,4,Leaf,个人战略备忘 v1 · 三选一困境,账上现金仅够 7 个月。三个选项：A 保守（全力押注 Robotaxi）、B 激进（全转物流）、C 折中（双线并行）。关键筹码：必须拿下顺丰 500 台意向订单。,Persona_Simulations/11_CEO_Li_CloudMap/03_Memo_Personal_Strategy.md
L4_13,L3_04,4,Leaf,个人战略备忘 v2 · C 轮前夜,"与 CTO 张博激烈冲突（""技术信仰"" vs ""商业落地""）。决策：All-in 物流，Robotaxi 只保留 10 人核心组。承诺 C 轮后拨款 ¥2000 万给张博做预研。风险：张博离职后代码归属。",Persona_Simulations/11_CEO_Li_CloudMap/07_Memo_Personal_Strategy_v2.md
L4_14,L3_04,4,Leaf,个人战略备忘 v3 · 闭环复盘,顺丰 LOI 签署（500 台），Sequoia TS 签署（$720M）。张博留任首席科学家（不开心但在岗）。下一步：路测牌照（仍在跟进）、9 月量产 100 台、科创板选项。,Persona_Simulations/11_CEO_Li_CloudMap/15_Memo_Personal_Strategy_v3.md
L3_05,L2_02,3,Container,Pitch 材料迭代,"两版 Pitch Deck 反映战略演进：v2 是""Robotaxi→物流""叙事，v3 是顺丰 LOI 签署后的""Logistics First""终版。",Persona_Simulations/11_CEO_Li_CloudMap/02_Doc_Series_C_Pitch_Deck_v2.md; Persona_Simulations/11_CEO_Li_CloudMap/11_Doc_Series_C_Pitch_Deck_v3.md
L4_15,L3_05,4,Leaf,Series C Pitch Deck v2,"定位：""城市物流操作系统""。当前里程：120 万公里 L4 自动驾驶。核心痛点：硬件 BOM ¥25 万/台，目标 ¥10 万/台。融资额：$1 亿。",Persona_Simulations/11_CEO_Li_CloudMap/02_Doc_Series_C_Pitch_Deck_v2.md
L4_16,L3_05,4,Leaf,Series C Pitch Deck v3（终版）,"""Logistics First, Robotaxi Next""。顺丰 LOI 500 台（合同金额 ¥5000 万）。BOM 降至 ¥9.8 万/台（1000 台规模）。融资额：$8000 万。月烧钱 $500 万→$300 万。",Persona_Simulations/11_CEO_Li_CloudMap/11_Doc_Series_C_Pitch_Deck_v3.md
L3_06,L2_02,3,Container,估值谈判与 Term Sheet,Sequoia Mike 初始要求砍价 20%（$10 亿→$6.4 亿），CEO 以顺丰订单为底牌抗议，最终落在 $7.2 亿。,Persona_Simulations/11_CEO_Li_CloudMap/09_Doc_Valuation_Crisis_Meeting.md; Persona_Simulations/11_CEO_Li_CloudMap/13_Doc_Term_Sheet_Analysis.md
L4_17,L3_06,4,Leaf,估值危机紧急会议,B 轮投后 $8 亿，Mike 要求 C 轮降至 $6.4 亿。三个应对：接受（快速拿钱）、硬抗（赌顺丰订单）、找新投资人（时间不够）。决定：必须拿下顺丰 500 台意向书，目标谈回 $8 亿平轮。,Persona_Simulations/11_CEO_Li_CloudMap/09_Doc_Valuation_Crisis_Meeting.md
L4_18,L3_06,4,Leaf,Sequoia Term Sheet 条款分析,Pre-money $7.2 亿（比 B 轮降 10%），融资额 $5000 万，期权池扩至 20%（稀释性）。Board：Sequoia（Mike）+1 新独立董事。CEO 注：$720M painful but better than $640M，周五前必须签。,Persona_Simulations/11_CEO_Li_CloudMap/13_Doc_Term_Sheet_Analysis.md
L3_07,L2_02,3,Container,运营执行,降本攻坚（¥25 万→¥9.8 万/台）、政府路测牌照公关、全员转型公告。,Persona_Simulations/11_CEO_Li_CloudMap/04_Doc_Cost_Reduction_Meeting.md; Persona_Simulations/11_CEO_Li_CloudMap/06_Doc_Government_License_Request.md; Persona_Simulations/11_CEO_Li_CloudMap/10_Doc_Cost_Reduction_Update.md; Persona_Simulations/11_CEO_Li_CloudMap/14_Email_All_Hands_Pivot.md
L4_19,L3_07,4,Leaf,降本会议纪要（第一轮）,"BOM ¥25 万→¥10 万目标，Gap ¥15 万。关键动作：算法剪枝（4 颗 Orin→1 颗），激光雷达从 3 颗改为纯视觉替代，自研底盘，换电模式。CTO 张博评价：""倒退 3 年""。",Persona_Simulations/11_CEO_Li_CloudMap/04_Doc_Cost_Reduction_Meeting.md
L4_20,L3_07,4,Leaf,降本进展更新（BOM Update）,最新单价 ¥12 万（从 ¥25 万）。再砍 ¥2 万措施：Hesai AT128 替代 Velodyne，国产转向电机替换进口，电池改租赁模式（Capex→Opex）。1000 台规模效应下可达 ¥9.8 万/台。,Persona_Simulations/11_CEO_Li_CloudMap/10_Doc_Cost_Reduction_Update.md
L4_21,L3_07,4,Leaf,政府路测牌照沟通纪要,"申请亦庄全域开放测试（含晚高峰）。政府反馈：竞品事故导致审查趋严，要求实时数据接入监管平台，拒绝高峰期测试。应对：错峰承诺（10:00-16:00, 20:00-06:00）+ 保额提升至 ¥500 万/辆。",Persona_Simulations/11_CEO_Li_CloudMap/06_Doc_Government_License_Request.md
